name,country,role,number,goals,passes,games,minutes,g+p,penalties,doubles,hattrick,autogoals,yellow,doubleYellow,red,fairPlay
Марио Гётце,Германия,полузащитник,11,0,0,2,34,0,0,0,0,0,0,0,0,0
Эрик Дайер,Англия,защитник,15,0,0,2,34,0,0,0,0,0,0,0,0,0
Стефан Митрович,Сербия,защитник,13,0,0,1,34,0,0,0,0,0,0,0,0,0
Джейсон Каммингс,Австралия,нападающий,25,0,0,1,34,0,0,0,0,0,0,0,0,0
Лука Йович,Сербия,нападающий,11,0,0,1,35,0,0,0,0,0,1,0,0,1
Жоау Пальинья,Португалия,полузащитник,6,0,0,3,35,0,0,0,0,0,0,0,0,0
Эвертон Рибейро,Бразилия,полузащитник,22,0,0,1,35,0,0,0,0,0,0,0,0,0
Гаранг Куол,Австралия,нападающий,21,0,0,2,35,0,0,0,0,0,0,0,0,0
Николас де ла Крус,Уругвай,полузащитник,7,0,0,2,36,0,0,0,0,0,0,0,0,0
Калвин Филлипс,Англия,полузащитник,14,0,1,2,40,1,0,0,0,0,0,0,0,0
Абдерразак Хамдалла,Марокко,нападающий,9,0,0,3,40,0,0,0,0,0,0,0,0,0
Келлин Перри-Акоста,США,полузащитник,23,0,0,2,41,0,0,0,0,0,1,0,0,1
Нуну Мендеш,Португалия,защитник,19,0,0,1,42,0,0,0,0,0,0,0,0,0
Андреас Гуардадо,Мексика,полузащитник,18,0,0,1,42,0,0,0,0,0,0,0,0,0
Маркус Тюрам,Франция,нападающий,26,0,1,3,42,1,0,0,0,0,0,0,0,0
Анте Будмир,Хорватия,нападающий,17,0,0,1,44,0,0,0,0,0,0,0,0,0
Хироки Ито,Япония,защитник,26,0,0,1,44,0,0,0,0,0,0,0,0,0
Саман Гходдос,Иран,нападающий,14,0,0,1,44,0,0,0,0,0,0,0,0,0
Михал Скураш,Польша,полузащитник,26,0,0,1,44,0,0,0,0,0,0,0,0,0
Хоссейн Канаанизадеган,Иран,защитник,13,0,0,1,44,0,0,0,0,0,1,0,0,1
Абдулла Маду,Саудовская Аравия,защитник,3,0,0,1,44,0,0,0,0,0,1,0,0,1
Томас Дилейни,Дания,полузащитник,8,0,0,1,45,0,0,0,0,0,0,0,0,0
Гаэль Ондуа,Камерун,полузащитник,5,0,0,2,45,0,0,0,0,0,0,0,0,0
Александер Ба,Дания,защитник,26,0,0,2,45,0,0,0,0,0,0,0,0,0
Сальман Аль-Фаридж,Саудовская Аравия,полузащитник,7,0,0,1,45,0,0,0,0,0,0,0,0,0
Йоустин Салас,Коста-Рика,полузащитник,14,0,0,2,45,0,0,0,0,0,0,0,0,0
Каллум Уилсон,Англия,нападающий,24,0,1,2,46,1,0,0,0,0,0,0,0,0
Хесус Феррейра,США,нападающий,9,0,0,1,46,0,0,0,0,0,0,0,0,0
Кароль Свидерский,Польша,нападающий,16,0,0,1,46,0,0,0,0,0,0,0,0,0
Чон У Ён,Южная Корея,полузащитник,25,0,0,1,46,0,0,0,0,0,0,0,0,0
Аясэ Уэда,Япония,нападающий,21,0,0,1,46,0,0,0,0,0,0,0,0,0
Карлос Мартинес,Коста-Рика,защитник,16,0,0,1,46,0,0,0,0,0,0,0,0,0
Фержани Сасси,Тунис,полузащитник,13,0,0,2,46,0,0,0,0,0,1,0,0,1
Карлос Груэсо,Эквадор,полузащитник,8,0,0,1,46,0,0,0,0,0,0,0,0,0
Сами аль-Наджеи,Саудовская Аравия,полузащитник,16,0,0,1,46,0,0,0,0,0,0,0,0,0
Али Аль-Хассан,Саудовская Аравия,полузащитник,15,0,0,1,46,0,0,0,0,0,1,0,0,1
Алан Франко,Эквадор,полузащитник,21,0,0,2,47,0,0,0,0,0,0,0,0,0
Эрик Гутьеррес,Мексика,полузащитник,14,0,0,1,48,0,0,0,0,0,1,0,0,1
Коке,Испания,полузащитник,8,0,0,2,50,0,0,0,0,0,0,0,0,0
Джованни Рейна,США,полузащитник,7,0,0,2,51,0,0,0,0,0,0,0,0,0
Джейми Макларен,Австралия,нападающий,9,0,0,3,52,0,0,0,0,0,0,0,0,0
Яхья Аттият-Аллах,Марокко,защитник,25,0,0,2,52,0,0,0,0,0,0,0,0,0
Ромелу Лукаку,Бельгия,нападающий,9,0,0,2,53,0,0,0,0,0,0,0,0,0
Эдимилсон Фернандеш,Швейцария,полузащитник,2,0,0,2,53,0,0,0,0,0,0,0,0,0
Рияд Шарахили,Саудовская Аравия,полузащитник,26,0,0,1,53,0,0,0,0,0,0,0,0,0
Рауль Хименес,Мексика,нападающий,9,0,0,3,56,0,0,0,0,0,0,0,0,0
Отавиньо,Португалия,полузащитник,25,0,0,1,56,0,0,0,0,0,0,0,0,0
Камалдин Сулемана,Гана,полузащитник,22,0,0,2,56,0,0,0,0,0,1,0,0,1
Такуми Минамино,Япония,полузащитник,10,0,0,3,57,0,0,0,0,0,0,0,0,0
Гидо Родригес,Аргентина,полузащитник,18,0,0,1,57,0,0,0,0,0,0,0,0,0
Пап Сарр,Сенегал,полузащитник,17,0,0,2,57,0,0,0,0,0,0,0,0,0
Неманья Радонич,Сербия,полузащитник,7,0,0,3,57,0,0,0,0,0,0,0,0,0
Квон Чхан Хун,Южная Корея,полузащитник,22,0,0,1,57,0,0,0,0,0,0,0,0,0
Хосе Сифуэнтес,Эквадор,полузащитник,5,0,0,2,57,0,0,0,0,0,0,0,0,0
Алекс Теллес,Бразилия,защитник,16,0,0,2,59,0,0,0,0,0,0,0,0,0
Алиреза Джаханбакш,Иран,полузащитник,7,0,0,2,59,0,0,0,0,0,2,0,0,2
Айдин Хрустич,Австралия,полузащитник,10,0,0,3,59,0,0,0,0,0,0,0,0,0
Мехди Тораби,Иран,полузащитник,16,0,0,3,59,0,0,0,0,0,0,0,0,0
Марк Кей,Канада,полузащитник,14,0,0,1,60,0,0,0,0,0,0,0,0,0
Мики Яманэ,Япония,защитник,2,0,0,1,62,0,0,0,0,0,1,0,0,1
Жордан Верету,Франция,полузащитник,15,0,0,1,63,0,0,0,0,0,0,0,0,0
Лукас Клостерманн,Германия,защитник,16,0,0,2,64,0,0,0,0,0,0,0,0,0
Никола Залевский,Польша,нападающий,21,0,0,2,65,0,0,0,0,0,0,0,0,0
Симон Кьер,Дания,защитник,4,0,0,1,65,0,0,0,0,0,0,0,0,0
Герсон Торрес,Коста-Рика,полузащитник,13,0,0,1,65,0,0,0,0,0,0,0,0,0
Филлип Младенович,Сербия,защитник,25,0,0,1,66,0,0,0,0,0,0,0,0,0
Мухаммед аль-Брейк,Саудовская Аравия,защитник,6,0,0,2,66,0,0,0,0,0,0,0,0,0
Бруно Гимарайнс,Бразилия,полузащитник,17,0,0,2,67,0,0,0,0,0,1,0,0,1
Фабиан Ридер,Швейцария,полузащитник,25,0,0,2,68,0,0,0,0,0,1,0,0,1
Ромарио Ибарра,Эквадор,полузащитник,10,0,0,2,69,0,0,0,0,0,0,0,0,0
Тило Керер,Германия,защитник,5,0,0,1,70,0,0,0,0,0,1,0,0,1
Кевин Альварес,Мексика,защитник,26,0,0,2,70,0,0,0,0,0,0,0,0,0
Шейху Куяте,Сенегал,полузащитник,8,0,0,1,73,0,0,0,0,0,0,0,0,0
Гонсало Монтиель,Аргентина,защитник,4,0,0,2,73,0,0,0,0,0,1,0,0,1
Матеус Луис,Португалия,полузащитник,23,0,0,2,73,0,0,0,0,0,0,0,0,0
Уриэль Антуна,Мексика,нападающий,21,0,0,3,74,0,0,0,0,0,0,0,0,0
Мохамед Али Бен Ромдан,Тунис,полузащитник,15,0,0,1,74,0,0,0,0,0,0,0,0,0
Йохан Венегас,Коста-Рика,полузащитник,11,0,0,1,74,0,0,0,0,0,0,0,0,0
Дрис Мертенс,Бельгия,нападающий,14,0,0,2,76,0,0,0,0,0,0,0,0,0
Орбелин Пинеда,Мексика,полузащитник,17,0,0,1,77,0,0,0,0,0,0,0,0,0
Маттео Гендузи,Франция,полузащитник,6,0,0,1,79,0,0,0,0,0,0,0,0,0
Неймар,Бразилия,нападающий,10,0,0,1,80,0,0,0,0,0,0,0,0,0
Витинья,Португалия,полузащитник,16,0,0,1,82,0,0,0,0,0,0,0,0,0
Хереми Сармьенто,Эквадор,нападающий,16,0,0,3,82,0,0,0,0,0,0,0,0,0
Юки Сома,Япония,нападающий,24,0,0,1,82,0,0,0,0,0,0,0,0,0
Никола Влашич,Хорватия,полузащитник,13,0,0,3,84,0,0,0,0,0,0,0,0,0
Жоау Мариу,Португалия,полузащитник,17,0,0,2,84,0,0,0,0,0,0,0,0,0
Матиас Йенсен,Дания,полузащитник,7,0,0,2,84,0,0,0,0,0,1,0,0,1
Натаниэль Аткинсон,Австралия,защитник,3,0,0,1,85,0,0,0,0,0,0,0,0,0
Винсент Янссен,Нидерланды,нападающий,18,0,0,2,86,0,0,0,0,0,0,0,0,0
Наваф Аль-Абид,Саудовская Аравия,полузащитник,18,0,0,2,87,0,0,0,0,0,1,0,0,1
